"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.493186560E0	-4.544464350E-1	-1.804881692E0	1.794419289E0	2.585354921E0
2.503184126E0	-4.442605972E-1	-1.918033838E0	1.778298378E0	2.653029665E0
2.513181692E0	-4.535022974E-1	-2.048502684E0	1.783708572E0	2.753841653E0
2.523179258E0	-4.685755968E-1	-2.197918415E0	1.792222977E0	2.874451539E0
2.533176824E0	-4.579501152E-1	-2.308907986E0	1.789632797E0	2.956951123E0
2.543174390E0	-4.602962732E-1	-2.474372864E0	1.728046417E0	3.052955641E0
2.553171923E0	-4.449069500E-1	-2.610139370E0	1.672111511E0	3.131569356E0
2.563202856E0	-4.525423050E-1	-2.674984932E0	1.679332733E0	3.190689166E0
2.573233722E0	-4.492948055E-1	-2.877972603E0	1.551287651E0	3.300164466E0
2.583264622E0	-4.273111820E-1	-3.004822731E0	1.494600296E0	3.383102797E0
2.593295488E0	-4.487973452E-1	-3.122572184E0	1.412532806E0	3.456461345E0
2.603326388E0	-4.488004446E-1	-3.195182800E0	1.424094200E0	3.526848346E0
2.613357254E0	-4.264508486E-1	-3.335464001E0	1.083317757E0	3.532811598E0
2.623388154E0	-4.291080236E-1	-3.397136450E0	1.093643188E0	3.594541025E0
2.633419054E0	-3.192752600E-1	-3.508698702E0	7.505884171E-1	3.602261268E0
2.643483287E0	-3.168736696E-1	-3.561424971E0	6.216516495E-1	3.629133163E0
2.653547487E0	-2.952316999E-1	-3.606426477E0	5.455865860E-1	3.659390443E0
2.663611687E0	-2.699364424E-1	-3.651379108E0	4.162817001E-1	3.684932229E0
2.673675920E0	-2.338409424E-1	-3.647521019E0	2.746639252E-1	3.665314644E0
2.683773486E0	-2.381651402E-1	-3.682189226E0	1.744070053E-1	3.694002969E0
2.693871019E0	-2.424300909E-1	-3.755882263E0	1.368989944E-1	3.766187098E0
2.703968552E0	-2.671873569E-1	-3.840536118E0	2.418212891E-1	3.857406420E0
2.714066085E0	-2.689334154E-1	-3.924347878E0	2.820682526E-1	3.943652361E0
2.724196985E0	-2.608046532E-1	-3.887902498E0	2.767372131E-1	3.906454708E0
2.734327818E0	-2.440981865E-1	-3.878347874E0	1.984300613E-1	3.891084764E0
2.744492051E0	-1.962647438E-1	-3.826284885E0	1.630878448E-2	3.831349873E0
2.754656217E0	-6.423711777E-2	-3.801831484E0	-3.603782654E-1	3.819413768E0
2.764820417E0	-6.501328945E-2	-3.748747110E0	-3.689556122E-1	3.767420851E0
2.774984583E0	-5.227673054E-2	-3.761471272E0	-4.230375290E-1	3.785546161E0
2.785182149E0	-6.421089172E-2	-3.813747168E0	-3.227710724E-1	3.827920018E0
2.795379649E0	-4.055559635E-2	-3.805654049E0	-3.392572403E-1	3.820961001E0
2.805610515E0	-3.152012825E-3	-3.737465620E0	-4.297552109E-1	3.762093664E0
2.815841348E0	9.024143219E-5	-3.681565762E0	-4.365348816E-1	3.707356089E0
2.826072181E0	-1.560902596E-2	-3.727734804E0	-5.659599304E-1	3.770485520E0
2.836303014E0	-1.899695396E-2	-3.675789595E0	-5.726299286E-1	3.720174064E0
2.846533847E0	2.365446091E-2	-3.609122753E0	-6.037006378E-1	3.659341613E0
2.856764680E0	3.505778313E-2	-3.514170170E0	-6.869239807E-1	3.580849841E0
2.866995513E0	9.951448441E-2	-3.437942028E0	-7.628593445E-1	3.522967911E0
2.877226346E0	1.265121698E-1	-3.387139797E0	-7.501039505E-1	3.471509365E0
2.887457179E0	1.261848211E-1	-3.346940041E0	-7.539844513E-1	3.433136000E0
2.897688012E0	1.377836466E-1	-3.278847694E0	-9.160108566E-1	3.407183944E0
2.907952212E0	1.273602247E-1	-3.208959103E0	-9.749422073E-1	3.356210878E0
2.918216378E0	1.242539883E-1	-3.155889988E0	-1.004240990E0	3.314148554E0
2.928480544E0	1.248605251E-1	-3.090630531E0	-9.514341354E-1	3.236172762E0
2.938744677E0	1.408582926E-1	-3.041681767E0	-8.791923523E-1	3.169329301E0
2.948975477E0	1.469935179E-1	-3.001574755E0	-8.811006546E-1	3.131676303E0
2.959206310E0	1.464976072E-1	-2.927110195E0	-8.424711227E-1	3.049457859E0
2.969470510E0	1.761826277E-1	-2.719808817E0	-9.526901245E-1	2.887216444E0
2.979734643E0	1.736040115E-1	-2.674992561E0	-9.556722641E-1	2.845880010E0
2.989965443E0	1.744334698E-1	-2.566683769E0	-9.344120026E-1	2.737045560E0
3.000196276E0	1.522659063E-1	-2.461918592E0	-6.207447052E-1	2.543531413E0
3.010427109E0	1.484007835E-1	-2.415911913E0	-5.033502579E-1	2.472248904E0
3.020657942E0	1.454547644E-1	-2.366406679E0	-5.056886673E-1	2.424202691E0
3.030888775E0	1.234179735E-1	-2.210762978E0	-4.024391174E-1	2.250480434E0
3.041119608E0	1.173809767E-1	-2.122086287E0	-3.489637375E-1	2.153788335E0
3.051350441E0	9.063696861E-2	-1.973571181E0	-2.396688461E-1	1.990135529E0
3.061581274E0	9.431743622E-2	-1.924860835E0	-2.399663925E-1	1.942052750E0
3.071812107E0	9.282946587E-2	-1.785013556E0	8.950233459E-3	1.787448129E0
3.082042940E0	5.689203739E-2	-1.662101746E0	9.718418121E-2	1.665912267E0
3.092273773E0	4.255652428E-2	-1.510910153E0	1.537761688E-1	1.519311574E0
3.102504606E0	2.572059631E-2	-1.387518167E0	2.388906479E-1	1.408167943E0
3.112735439E0	6.152391434E-4	-1.246106863E0	4.751672745E-1	1.333629121E0
3.122966272E0	-3.812432289E-3	-1.217678905E0	4.747123718E-1	1.306946168E0
3.133197105E0	-8.148193359E-3	-1.024260759E0	6.969652176E-1	1.238925749E0
3.143427971E0	-1.645600796E-2	-7.727014422E-1	7.575006485E-1	1.082194784E0
3.153692171E0	-4.406642914E-2	-5.688467026E-1	7.895832062E-1	9.741509435E-1
3.163956337E0	-5.686318874E-2	-3.663090765E-1	8.263378143E-1	9.056765124E-1
3.174220470E0	-7.302868366E-2	-1.908950508E-1	8.485517502E-1	8.728196731E-1
3.184484670E0	-8.984053135E-2	-2.639666200E-2	8.945436478E-1	8.994311772E-1
3.194748836E0	-9.250056744E-2	-8.413672447E-3	8.949737549E-1	8.997806215E-1
3.205013002E0	-1.309318542E-1	2.827121615E-1	1.014838219E0	1.061586514E0
3.215277135E0	-1.322876215E-1	4.570066929E-1	9.906730652E-1	1.098994201E0
3.225541301E0	-1.842629910E-1	5.953437090E-1	1.059494972E0	1.229193466E0
3.235805467E0	-1.841950417E-1	7.251048684E-1	1.116313934E0	1.343823531E0
3.246069633E0	-1.941939592E-1	8.643541932E-1	1.187558174E0	1.481591672E0
3.256333799E0	-1.775016785E-1	9.922995567E-1	1.225380898E0	1.586733626E0
3.266597965E0	-1.902869940E-1	1.124146223E0	1.232281685E0	1.678818639E0
