"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
5.132170728E0	9.975003040E2	-8.520264368E-1
5.142170936E0	9.978517388E2	-7.319813046E-1
5.152171145E0	9.982502317E2	-5.959640040E-1
5.162171353E0	9.985528936E2	-4.927291933E-1
5.172171562E0	9.988790618E2	-3.815466630E-1
5.182171770E0	9.990600167E2	-3.198950182E-1
5.192171978E0	9.993590774E2	-2.180534561E-1
5.202172187E0	9.998475221E2	-5.185040343E-2
5.212172395E0	1.000093706E3	3.185717370E-2
5.222172603E0	1.000367297E3	1.248350413E-1
5.232172812E0	1.000697253E3	2.369009597E-1
5.242173020E0	1.000925882E3	3.145087719E-1
5.252173228E0	1.001107842E3	3.762493968E-1
5.262173437E0	1.001308853E3	4.444283579E-1
5.272173645E0	1.001433813E3	4.867985820E-1
5.282173853E0	1.001631089E3	5.536671244E-1
5.292174062E0	1.001718403E3	5.832548708E-1
5.302174270E0	1.001785334E3	6.059318381E-1
5.312174478E0	1.001925594E3	6.534436517E-1
5.322174687E0	1.002228592E3	7.560363218E-1
5.332174895E0	1.002315411E3	7.854210237E-1
5.342175103E0	1.002236433E3	7.586903110E-1
5.352175312E0	1.002393128E3	8.117209613E-1
5.362175520E0	1.002319649E3	7.868553341E-1
5.372175728E0	1.002366803E3	8.028128605E-1
5.382175937E0	1.002544691E3	8.629989773E-1
5.392176145E0	1.002646938E3	8.975830517E-1
5.402176353E0	1.002558622E3	8.677114836E-1
5.412176562E0	1.002738114E3	9.284166960E-1
5.422176770E0	1.002858704E3	9.691886432E-1
5.432176978E0	1.002826066E3	9.581545123E-1
5.442177187E0	1.002801734E3	9.499280469E-1
5.452177395E0	1.003060002E3	1.037226648E0
5.462177603E0	1.002960258E3	1.003516948E0
5.471464035E0	1.002916496E3	9.887249426E-1
5.481464243E0	1.002995022E3	1.015266594E0
5.491464452E0	1.002981939E3	1.010845023E0
5.501464660E0	1.002998652E3	1.016493571E0
5.511464868E0	1.003066216E3	1.039326782E0
5.521465077E0	1.002904907E3	9.848075556E-1
5.531465285E0	1.002937573E3	9.958493732E-1
5.541465493E0	1.002874149E3	9.744101621E-1
5.551465702E0	1.002793965E3	9.473013617E-1
5.561465910E0	1.002738567E3	9.285699370E-1
5.571466118E0	1.002688977E3	9.118004746E-1
5.581466327E0	1.002675966E3	9.074002205E-1
5.591466535E0	1.002598010E3	8.810345187E-1
5.601466743E0	1.002619981E3	8.884658433E-1
5.611466952E0	1.002622346E3	8.892657853E-1
5.621467160E0	1.002579133E3	8.746494588E-1
5.631467368E0	1.002547627E3	8.639922050E-1
5.641467577E0	1.002513888E3	8.525786229E-1
5.651467785E0	1.002421122E3	8.211932852E-1
5.661467993E0	1.002344388E3	7.952274690E-1
5.671468202E0	1.002388456E3	8.101401675E-1
5.681468410E0	1.002202508E3	7.472068219E-1
5.691468618E0	1.002100385E3	7.126339477E-1
5.701468827E0	1.001847533E3	6.270028094E-1
5.711469035E0	1.001627754E3	5.525371217E-1
5.721469243E0	1.001444133E3	4.902972330E-1
5.731469452E0	1.001083645E3	3.680405206E-1
5.741469660E0	1.000702247E3	2.385963507E-1
5.751469868E0	1.000161197E3	5.479800066E-2
5.761470077E0	9.997054735E2	-1.001685208E-1
5.771470285E0	9.992244512E2	-2.638912639E-1
5.781470493E0	9.988951829E2	-3.760532960E-1
5.791470702E0	9.986407590E2	-4.627709449E-1
5.801470910E0	9.985916833E2	-4.795029734E-1
5.811471118E0	9.987125024E2	-4.383135110E-1
5.821471327E0	9.985295583E2	-5.006864080E-1
5.831471535E0	9.987196781E2	-4.358674951E-1
5.841471743E0	9.988506845E2	-3.912168944E-1
5.851471952E0	9.988529468E2	-3.904459663E-1
5.861472160E0	9.989211928E2	-3.671905848E-1
5.871472369E0	9.988540557E2	-3.900680734E-1
5.881472577E0	9.990090736E2	-3.372491532E-1
5.891472785E0	9.989579383E2	-3.546705718E-1
5.901472994E0	9.989783836E2	-3.477047953E-1
5.911473202E0	9.985903401E2	-4.799609599E-1
5.921473410E0	9.980699387E2	-6.574898315E-1
5.931473619E0	9.974303060E2	-8.759468632E-1
5.941473827E0	9.974114047E2	-8.824065924E-1
5.951474035E0	9.976057568E2	-8.159963720E-1
5.961474244E0	9.975523250E2	-8.342514820E-1
5.971474452E0	9.974073079E2	-8.838067609E-1
5.981474660E0	1.000505707E3	1.718534672E-1
5.991474869E0	9.990792067E2	-3.133582547E-1
6.001475077E0	9.998659394E2	-4.558672757E-2
6.011475285E0	1.000616564E3	2.095025059E-1
6.021475494E0	1.001599723E3	5.430369473E-1
6.031475702E0	1.001581849E3	5.369791068E-1
6.041475910E0	1.002141542E3	7.265682027E-1
6.051476119E0	1.002264944E3	7.683407290E-1
6.061476327E0	1.002147056E3	7.284349760E-1
6.071476535E0	1.002426659E3	8.230665939E-1
6.081476744E0	1.002595474E3	8.801766145E-1
6.091476952E0	1.002762169E3	9.365505066E-1
6.101477160E0	1.002574617E3	8.731218420E-1
6.111477369E0	1.002791333E3	9.464113556E-1
6.121477577E0	1.002480339E3	8.412285941E-1
6.131477785E0	1.002529933E3	8.580064339E-1
6.141477994E0	1.002302295E3	7.809822647E-1
6.151478202E0	1.002070624E3	7.025572943E-1
6.161478410E0	1.001642613E3	5.575725894E-1
6.172827996E0	1.001506305E3	5.113734115E-1
6.182828204E0	1.001313095E3	4.458667323E-1
6.192828413E0	1.001062445E3	3.608480508E-1
6.202828621E0	1.000967965E3	3.287900025E-1
6.212828829E0	1.000718659E3	2.441687023E-1
6.222829038E0	1.000672914E3	2.286369412E-1
6.232829246E0	1.000565231E3	1.920699685E-1
6.242829454E0	1.000542933E3	1.844970714E-1
6.252829663E0	1.000353106E3	1.200135179E-1
6.262829871E0	1.000280627E3	9.538625058E-2
6.272830079E0	1.000186311E3	6.333382357E-2
6.282830288E0	1.000084358E3	2.867924510E-2
6.292830496E0	1.000181268E3	6.162009328E-2
6.302830704E0	1.000060225E3	2.047531370E-2
6.312830913E0	1.000148478E3	5.047491411E-2
6.322831121E0	1.000077741E3	2.642998594E-2
6.332831329E0	1.000085962E3	2.922458727E-2
6.342831538E0	1.000168157E3	5.716364412E-2
6.352831746E0	1.000091967E3	3.126594503E-2
6.362831954E0	1.000331188E3	1.125667250E-1
6.372832163E0	1.000286584E3	9.741078145E-2
6.382832371E0	1.000426216E3	1.448517257E-1
6.392832579E0	1.000474698E3	1.613206250E-1
6.402832788E0	1.000734568E3	2.495699315E-1
6.412832996E0	1.000721426E3	2.451080281E-1
6.422833204E0	1.001004304E3	3.411207382E-1
6.432833413E0	1.001189672E3	4.040076795E-1
6.442833621E0	1.001355932E3	4.603925837E-1
6.452833829E0	1.001390320E3	4.720525807E-1
6.462834038E0	1.001319311E3	4.479746269E-1
6.472834246E0	1.001375446E3	4.670093692E-1
6.482834454E0	1.001357051E3	4.607719895E-1
6.492834663E0	1.001125766E3	3.823301681E-1
6.502834871E0	1.001114164E3	3.783942585E-1
6.512835079E0	1.000974526E3	3.310161350E-1
6.522835288E0	1.001105654E3	3.755072990E-1
6.532835496E0	1.000954469E3	3.242100583E-1
6.542835704E0	1.000900312E3	3.058306852E-1
6.552835913E0	1.001067813E3	3.626690229E-1
6.562836121E0	1.000785555E3	2.668790522E-1
6.572836330E0	1.000912230E3	3.098754778E-1
6.582836538E0	1.001304751E3	4.430372786E-1
6.592836746E0	1.001238379E3	4.205279724E-1
6.602836955E0	1.000920917E3	3.128236805E-1
6.612837163E0	1.000268766E3	9.135604076E-2
6.622837371E0	1.000106401E3	3.617234801E-2
6.632837580E0	9.991667986E2	-2.835247039E-1
6.642837788E0	9.986665227E2	-4.539876517E-1
6.652837996E0	9.982206263E2	-6.060654851E-1
6.662838205E0	9.980010950E2	-6.809889155E-1
6.672838413E0	9.983220872E2	-5.714491851E-1
6.682838621E0	9.980405337E2	-6.675265438E-1
6.692838830E0	9.981570488E2	-6.277603431E-1
6.702839038E0	9.980363756E2	-6.689458680E-1
6.712839246E0	9.983631754E2	-5.574327981E-1
6.722839455E0	9.985074298E2	-5.082324558E-1
6.732839663E0	9.981850295E2	-6.182120083E-1
6.742839871E0	9.979792505E2	-6.884460226E-1
6.752840080E0	9.978575034E2	-7.300128832E-1
6.762840288E0	9.975603534E2	-8.315084438E-1
