"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
8.384163879E0	9.982299163E2	-6.028956170E-1
8.399164192E0	9.981678257E2	-6.240826828E-1
8.414164504E0	9.981037909E2	-6.459359112E-1
8.429164817E0	9.981340447E2	-6.356108235E-1
8.444165129E0	9.980622522E2	-6.601133706E-1
8.459165442E0	9.980360510E2	-6.690566634E-1
8.474165754E0	9.980887704E2	-6.510623964E-1
8.489166067E0	9.980689690E2	-6.578208173E-1
8.504166379E0	9.981194133E2	-6.406041924E-1
8.519166692E0	9.982081655E2	-6.103173183E-1
8.534167004E0	9.983113045E2	-5.751276790E-1
8.549167317E0	9.984683318E2	-5.215660471E-1
8.564167629E0	9.986983448E2	-4.431395697E-1
8.579167942E0	9.987893016E2	-4.121364198E-1
8.594168254E0	9.989151253E2	-3.692579969E-1
8.609168567E0	9.989515286E2	-3.568544333E-1
8.624168879E0	9.988121447E2	-4.043511037E-1
8.639169192E0	9.988183394E2	-4.022398988E-1
8.654169504E0	9.988998018E2	-3.744793769E-1
8.669169817E0	9.993071867E2	-2.357198385E-1
8.684170129E0	9.996173486E2	-1.301512899E-1
8.699170442E0	1.000121165E3	4.119094190E-2
8.714170754E0	1.000200912E3	6.829644495E-2
8.729171067E0	9.998146052E2	-6.304591634E-2
8.744171379E0	9.995587170E2	-1.501024439E-1
8.759171692E0	9.995304179E2	-1.597329287E-1
8.774172004E0	9.992269433E2	-2.630426275E-1
8.789172317E0	9.990282876E2	-3.307035680E-1
8.804172629E0	9.987661423E2	-4.200298711E-1
8.819172942E0	9.986214443E2	-4.693559596E-1
8.834173254E0	9.986524461E2	-4.587865503E-1
8.849173567E0	9.986127362E2	-4.723249464E-1
8.864173879E0	9.984951390E2	-5.124238732E-1
8.879174192E0	9.980261081E2	-6.724505905E-1
8.894174504E0	9.974856231E2	-8.570430729E-1
8.909174817E0	9.972242887E2	-9.463686752E-1
8.924175129E0	9.970104023E2	-1.019511159E0
8.939175442E0	9.970669217E2	-1.000180229E0
8.966256955E0	9.973179998E2	-9.143323035E-1
8.981257268E0	9.977133664E2	-7.792372692E-1
8.996257580E0	9.979225255E2	-7.078117929E-1
9.011257893E0	9.981834272E2	-6.187587841E-1
9.026258205E0	9.984491363E2	-5.281126843E-1
9.041258518E0	9.985776426E2	-4.842903669E-1
9.056258830E0	9.987894508E2	-4.120855847E-1
9.071259143E0	9.986449926E2	-4.613276309E-1
9.086259455E0	9.990528520E2	-3.223356126E-1
9.101259768E0	9.989175709E2	-3.684246954E-1
9.116260080E0	9.992172094E2	-2.663572953E-1
9.131260393E0	9.991444040E2	-2.911517636E-1
9.146260705E0	9.992658511E2	-2.497940229E-1
9.161261018E0	9.994849346E2	-1.752124917E-1
9.176261330E0	9.994590559E2	-1.840205417E-1
9.191261643E0	9.996264737E2	-1.270463897E-1
9.206261955E0	9.997340054E2	-9.046223180E-2
9.221262268E0	9.998343120E2	-5.634325305E-2
9.236262580E0	9.999381793E2	-2.102033253E-2
9.251262893E0	9.999164667E2	-2.840370680E-2
9.266263205E0	1.000022757E3	7.737130466E-3
9.281263518E0	1.000048830E3	1.660130508E-2
9.296263830E0	1.000075303E3	2.560095556E-2
9.311264143E0	1.000077550E3	2.636499755E-2
9.326264455E0	1.000126264E3	4.292442336E-2
9.341264768E0	1.000132413E3	4.501434866E-2
9.356265080E0	1.000124346E3	4.227240435E-2
9.371265393E0	1.000110438E3	3.754464671E-2
9.386265705E0	1.000149125E3	5.069510975E-2
9.401266018E0	1.000020326E3	6.910531628E-3
9.416266330E0	9.998762702E2	-4.207333526E-2
9.431266643E0	9.996507009E2	-1.188032019E-1
9.446266955E0	9.995066573E2	-1.678193195E-1
9.461267268E0	9.992895109E2	-2.417380347E-1
9.476267580E0	9.991026678E2	-3.053669482E-1
9.491267893E0	9.990251239E2	-3.317813054E-1
